id,name,year_published
108744b3-b0f9-4240-a9c8-7458d62cbbbd,Pandemic,2008
270ba001-cf9a-466c-888d-e2ad00ddb87f,CATAN,1995
de2a14db-4649-41dd-8f84-4b8cc8c55407,Carcassonne,2000
d2cca7b6-94dd-459e-a014-229051bd9a94,Wingspan,2019
ebd439ea-3edc-48f4-aa6b-259ccc5ec648,7 Wonders,2010
ffd91406-7001-45b4-9b71-4ec8c22d5ba7,Dungeons & Dragons (5th Edition),2014
28d3aa66-db7b-4097-b7b6-be5768cfb8fd,Patchwork,2014
2d48fd8b-44df-4110-aa8f-be989ebdc259,Codenames,2015
abafc708-5ab2-4cc4-95b1-612f20504916,Dominion,2008
b6766570-caa5-4543-ba49-34d4c7f4eef4,Pathfinder Roleplaying Game (2nd Edition),2019
549147c2-9135-4538-a8f8-f8e3b8b429f6,Ticket to Ride,2004
eb378e3d-c02a-47c9-a33a-b1e35f8507cc,7 Wonders Duel,2015
6bf0c731-c15b-4dfc-b0b9-955ccbf0b42b,Root,2018
00360af5-c414-4c4a-9870-d9dd08c331c2,Love Letter,2012
16fbb2f3-5910-402b-9b91-4004c8d7c136,Terraforming Mars,2016
f963dd42-95b5-4176-b255-5e6004785a27,Call of Cthulhu (7th Edition),2014
e87b57fd-a4c4-425e-b4dd-a648dc1659fd,Ticket to Ride: Europe,2005
725de888-00f6-45b8-8d4d-b538d56cb37e,Splendor,2014
0eafb3da-23bc-496d-8663-9cc85d8d1e46,King of Tokyo,2011
17b6bf89-a6a1-4c1c-bf5a-a8f056a5fb05,Small World,2009
b95e09aa-414f-4a69-8dbb-cb74144ef91c,Azul,2017
63d33d2e-f471-4a86-9dd5-3e64ab3c850e,Bohnanza,1997
03763099-de65-453f-99d4-09eda6d5d281,Agricola,2007
e1caec09-6ffa-4ead-bca2-d58852dcfa69,Scythe,2016
4b4f6e0a-2def-43c6-9046-3a7177561df0,Lost Ruins of Arnak,2020
53d00ccc-0fbc-45e1-bed9-66cd5cd7f406,Munchkin,2001
5af2a5d2-50ff-485d-92ff-4ce202cffaa6,Puerto Rico,2002
28c32b81-d322-4aad-9c1b-17c7f7157cc0,Forbidden Island,2010
156afd49-1750-49db-bd9c-65b4fcb2ccf8,Robinson Crusoe: Adventures on the Cursed Island,2012
2ed755b3-9f4e-4d2b-863b-e26ef5f17c72,Call of Cthulhu (2nd - 6th Edition),1983
27090032-b23a-4798-b0b3-6488d31ee93a,Ark Nova,2021
1b4b049d-d94c-4a84-b89a-006a17e4b031,Dixit,2008
b184f864-1467-4354-b322-aa2287e5f1e0,Gloomhaven,2017
99810209-14e2-474a-9b47-98be573bd3ed,Dune: Imperium,2020
b6a59a60-e400-4476-9e94-0ee676320f23,Power Grid,2004
12fbdb7d-2b97-43d2-8dbe-318bedbdfdd0,Pandemic Legacy: Season 1,2015
26b7605f-3df3-4730-9b0d-6aa58e5832ac,Citadels,2000
c440978b-9700-414b-8fe4-0ffe8bc35136,Hanabi,2010
c0a88182-d732-42f7-b944-cc6c9e776c04,The Castles of Burgundy,2011
0178c064-2175-49ab-993f-c7db27dcd468,Cascadia,2021
f0383ba7-0944-44a8-933c-ac5d6c389942,Coup,2012
b5e647af-2df9-4400-8656-5728b78b62dd,Pathfinder Roleplaying Game (1st Edition),2009
5cb7f524-c697-40a5-9e8b-45aca3aa3193,Betrayal at House on the Hill,2004
3ecd274f-0d12-43f3-9ea4-1389211c34b5,Sushi Go!,2013
1cf29ed7-4725-48e9-ab62-a018d63724a2,Lords of Waterdeep,2012
534727c2-6bbc-4d50-bfa7-a11d88dc2334,Race for the Galaxy,2007
9db95511-9733-451b-828b-ec4efe877ee6,Twilight Struggle,2005
0856eb0e-d32c-4520-9437-e11a841383f9,The Resistance,2009
8ffc529a-3b67-4b3f-9907-1f52077fd969,Cosmere Roleplaying Game,2025
32441b65-e994-4c52-a453-51f011ac1206,Jaipur,2009
a0c76df7-c790-4537-a502-e62574571abe,Monopoly,1935
fcf5c211-dba7-4ebf-a30e-ce0e1ef1c79e,Kingdomino,2016
726740b9-5d7a-4844-8861-41a1ec19399a,Takenoko,2011
6911c55f-ef9f-4959-b0ae-aa5b7c62a93d,Dead of Winter: A Crossroads Game,2014
d51d919f-78ff-447e-a260-5c7e4e66ce79,Terra Mystica,2012
a07949e5-23d3-44c6-ab06-10ee4b9795ae,Star Realms,2014
1e870216-17ae-4a6f-8685-25bc5c81aaa2,Lost Cities,1999
9a8ded57-0f95-4cf0-bd5a-ad067517710a,Arkham Horror: The Card Game,2016
a08a4e38-39a7-4500-af55-77affc8c5637,Star Wars: Edge of the Empire,2012
153a33c2-e811-44c3-a0a9-63d735ad8923,Chess,1475
b837e57c-e794-4aa5-86e6-919ef82a6ffe,Dungeons & Dragons (3.5 Edition),2003
f1ba3209-3370-4dd9-84cf-c80501975706,Savage Worlds Adventure Edition (SWADE),2018
45b7bbc5-1dcc-40b1-9141-44cabb027b8e,Wingspan: European Expansion,2019
b86efee9-7f15-4cf0-a6be-81892f9ffffb,Warhammer Fantasy Roleplay (1st Edition),
5eeb1663-4bb3-4ed1-841f-53b42ab4fee4,Warhammer Fantasy Roleplay (2nd Edition),
e5cb655d-4269-4cd5-bafb-e4980ee861de,Mysterium,2015
97727ac3-81c0-4d59-8973-8d7486dc016b,Pandemic: On the Brink,2009
d5a35a9c-d92d-4775-82b7-487336561041,Arkham Horror (Second Edition),2005
ee8b2cf2-86c9-4a64-be38-fab275e3ddbb,Dungeon World,
84f4e85c-be35-4fb4-99bb-ce5e276b7e59,Stone Age,2008
8983db45-2cf0-4c2a-b276-5165e9e7e9cd,Scrabble,1948
c79e68a9-cb21-4eec-8300-880c9a57c10d,Risk,1959
3d645712-7493-4496-810a-3fbf6654380f,Carcassonne: Expansion 1 – Inns & Cathedrals,2002
c96c7a49-c916-4b08-bd5e-d9239f1bade5,CATAN: 5-6 Player Extension,1996
6d4e64c0-db82-439f-9523-e84aa55b42ce,Santorini 2016 Edition,2016
4c2e9734-7bf8-4762-ac73-a63ca3543d15,The Quest for El Dorado,2017
d206f8da-c31c-49af-b35a-1ba53e639848,Sheriff of Nottingham,2014
cc0915f3-d4fa-4d4b-aa78-e566b118683b,Forbidden Desert,2013
ec087f6f-8466-4f31-99ac-7829b7b18689,Exploding Kittens,2015
9f327641-c1e8-463a-87b3-8c1270ba8f47,Dominion: Intrigue,2009
f3015a5b-5e88-418d-9157-dd4d82f1321c,Eldritch Horror,2013
3f07b9e0-b3d2-490e-9e76-cdd48eed3e3c,Traveller (Classic),
fc71feed-a8ad-4a88-bf5b-82d6409d1444,Wingspan: Oceania Expansion,2020
24f7db33-e62f-4cea-b9fa-49bef7d45e02,CATAN: Seafarers,1997
a473b0fc-26ad-41b3-a02b-c5da71851ace,Five Tribes,2014
e3e19b8d-8c5f-471b-b550-e4cb6d97b8c0,Android: Netrunner,2012
a43400e5-4a9a-48c2-9497-5989cec2121b,Machi Koro,2012
5e638ce0-2992-4b18-8c41-e523b2d75185,Saboteur,2004
f945a390-b0e7-4b51-b31b-ffed96b3c71c,Blood Rage,2015
858267a6-9a77-4f24-a6fa-de919289ff8a,Star Wars (WEG Original Edition),
3f84d65f-643a-4b46-904f-b0ec593d22da,Star Wars (WEG 2nd Edition),
ac55f620-efa5-4f03-b699-1c8ab1406e14,Sagrada,2017
a1e45226-edd3-4609-b4a5-594091300ded,CATAN: Cities & Knights,1998
e7f2cc6b-f492-4d1a-849b-f82fdc575549,Architects of the West Kingdom,2018
bdf889fb-e0f6-40f4-977a-d783b0f7d2c8,Terraforming Mars: Prelude,2018
ac967972-1dc2-467f-a29b-7376836e6759,Sushi Go Party!,2016
