"id","title","categories","year","players_min","players_max","playtime_min","playtime_max","thumbnail_url","created_at","bgg_id","thumbnail_file","mana_meeple_category","description","designers","publishers","mechanics","artists","average_rating","complexity","bgg_rank","users_rated","min_age","is_cooperative","image","nz_designer","game_type","date_added","status","is_expansion","base_game_id","expansion_type","modifies_players_min","modifies_players_max","has_sleeves"
301,A Fake Artist Goes to New York,"Bluffing, Deduction, Party Game",2011,5,10,20,20,https://cf.geekdo-images.com/5Q5YHxJeVp6PAhfv5Ct0-g__small/img/nqo8xhGEWnqXYDEvYcVpBpABBI4=/fit-in/200x150/filters:strip_icc()/pic3678404.png,2025-12-10 17:12:30.733,135779,,,"エセ芸術家ニューヨークへ行く – which is pronounced as ""Ese Geijutsuka New York e Iku"" and can be translated as Fake Artist Goes to New York – is a party game for 5-10 players. Players take turns being the Question Master, whose role is to set a category, write a word within that category on dry erase cards, and hand those out to other players as artists. At the same time, one player will have only an ""X"" written on his card: they are the fake artist!

Players will then go around the table twice, drawing one contiguous stroke each on a paper to draw the word established by the Question Master, then guess who the fake artist is. If the fake artist is not caught, both the fake artist and the Question Master earn points; if the fake artist is caught and cannot guess what the word is, the artists earn points.","[""Jun Sasaki""]","[""Oink Games"", ""G\u00e9m Klub Kft."", ""Lautapelit.fi"", ""PopcornEdu""]","[""Hidden Roles"", ""Line Drawing"", ""Targeted Clues""]","[""Jun Sasaki""]",7.11351,1.0971,740,10144,8,false,https://cf.geekdo-images.com/5Q5YHxJeVp6PAhfv5Ct0-g__original/img/yRNioltDOtjrTRXa0HHoTTCWNf8=/0x0/filters:format(png)/pic3678404.png,false,,2025-12-10 17:12:30.733,BUY_LIST,false,,,,,
302,Time's Up! Title Recall!,"Humor, Movies / TV / Radio theme, Party Game",2008,4,18,60,60,https://cf.geekdo-images.com/XVqx-bp37COAHcyYUB7KNQ__small/img/8i8qQZPAwkAm7yyaLbdn8I6mjmM=/fit-in/200x150/filters:strip_icc()/pic3690447.jpg,2025-12-10 17:12:30.997,36553,,,"Based on the popular game Time's Up!, Time's Up: Title Recall challenges players to guess the titles of books, films, songs, and more. Players try to get their teammates to guess the same set of titles over three rounds. In each round, one member of a team tries to get their teammates to guess as many titles as possible in 30 seconds. In round 1, almost any kind of clue is allowed. In round 2, no more than one word can be used in each clue (but unlimited sounds and gestures are permitted.) In round 3, no words are allowed at all.","[""Michael Adams"", ""Peter Sarrett""]","[""R&R Games""]","[""Acting"", ""Communication Limits"", ""Memory"", ""Team-Based Game""]",[],7.67485,1.1895,687,3726,12,false,https://cf.geekdo-images.com/XVqx-bp37COAHcyYUB7KNQ__original/img/dbdo3WivCtIItVGNj8FvJv3LnkQ=/0x0/filters:format(jpeg)/pic3690447.jpg,false,,2025-12-10 17:12:30.997,BUY_LIST,false,,,,,
303,Werewords,"Deduction, Party Game, Real-time, Word Game",2017,4,10,10,10,https://cf.geekdo-images.com/4ngyBZXLLKIOdGuUHE7baw__small/img/gSGfC0ZMYbOXukqfdBBuxULmyJU=/fit-in/200x150/filters:strip_icc()/pic4415135.jpg,2025-12-10 17:12:31.273,219215,,,"In Werewords, players guess a secret word by asking ""yes"" or ""no"" questions. Figure out the magic word before time is up, and you win! However, one of the players is secretly a werewolf who is not only working against you, but also knows the word. If you don't guess the word in time, you can still win by identifying the werewolf!

To help you out, one player is the Seer, who knows the word but must not to be too obvious when helping you figure it out; if the word is guessed, the werewolf can pull out a win by identifying the Seer!

A free iOS/Android app provides thousands of words in hundreds of categories at various difficulty levels, so everyone can play.","[""Ted Alspach""]","[""B\u00e9zier Games"", ""GaGa Games"", ""GoKids \u73a9\u6a02\u5c0f\u5b50"", ""Lucky Duck Games"", ""Popcorn Games"", ""Portal Games"", ""Ravensburger"", ""Reflexshop"", ""UBO CnC""]","[""Hidden Roles"", ""Roles with Asymmetric Information"", ""Traitor Game"", ""Variable Player Powers"", ""Voting""]","[""Ted Alspach"", ""Jason Boles"", ""Roland MacDonald""]",7.10675,1.1556,990,6038,8,false,https://cf.geekdo-images.com/4ngyBZXLLKIOdGuUHE7baw__original/img/26CKXFLZQ1sUlUwdu_kJ3E8F4Bs=/0x0/filters:format(jpeg)/pic4415135.jpg,false,,2025-12-10 17:12:31.273,BUY_LIST,false,,,,,
304,Wingspan: Oceania Expansion,"Animals, Economic, Educational, Expansion for Base-game",2020,1,5,40,70,https://cf.geekdo-images.com/Nl_5PvrmI6aS-1qqiJ6JAw__small/img/ohztPasKZz5F71HTb7YrPasy_xM=/fit-in/200x150/filters:strip_icc()/pic5685481.png,2025-12-10 17:12:31.540,300580,,,"Wingspan: Oceania Expansion focuses on birds in Australia and New Zealand. It's designed by Elizabeth Hargrave and features birds illustrated by Natalia Rojas and Ana Maria Martinez.

In this second expansion to Wingspan colorful and awe-inspiring birds from Oceania are added. The Oceania bird cards are designed to be shuffled into the bird cards from the base game, with or without other expansions.

This expansion includes new player mats and a new food type, allowing players to explore different strategies in this new environment. It also includes new bonus cards and more end-of-round goals, as well as a new color of egg. In addition, it includes a two-player cooperative variant that adapts the solo rules to allow a team of two to play against a game-controlled opponent.","[""Elizabeth Hargrave""]","[""Stonemaier Games"", ""999 Games"", ""Arclight Games"", ""Bluebird Games"", ""Delta Vision Publishing"", ""Feuerland Spiele"", ""Ghenos Games"", ""Korea Boardgames"", ""Lautapelit.fi"", ""Lavka Games"", ""Ludofy Creative"", ""Maldito Games"", ""Matagot"", ""MINDOK"", ""MIPL"", ""Rebel Sp. z o.o."", ""Regatul Jocurilor"", ""Siam Board Games"", ""Surfin' Meeple China"", ""\u0406\u0433\u0440\u043e\u043c\u0430\u0433""]","[""Cooperative Game"", ""Dice Rolling"", ""Hand Management"", ""Open Drafting"", ""Set Collection"", ""Solo / Solitaire Game""]","[""Ana Maria Martinez Jaramillo"", ""Natalia Rojas"", ""Beth Sobel""]",8.45216,2.6596,,12421,10,true,https://cf.geekdo-images.com/Nl_5PvrmI6aS-1qqiJ6JAw__original/img/Y4F8LD6FKN82ERsoe92o25oAF2E=/0x0/filters:format(png)/pic5685481.png,false,,2025-12-10 17:12:31.540,BUY_LIST,false,,,,,
305,Cascadia: Landmarks,"Expansion for Base-game, Abstract Strategy, Animals, Environmental, Puzzle",2023,1,6,30,45,https://cf.geekdo-images.com/sD3EGm2CyvQGrp7FhScs0w__small/img/wPg8YV5oURy3SQ18vYrpBf-R3_s=/fit-in/200x150/filters:strip_icc()/pic7453773.jpg,2025-12-10 17:12:31.863,385318,,,"In Cascadia: Landmarks expansion, players create sprawling habitats and place beautiful natural landmarks within them. Landmarks give each environment its own look and feel, while also providing dynamic endgame scoring bonuses!

In addition to the Landmarks module, this expansion includes more unique wildlife scoring cards and habitat tiles to add variety and enough components to play Cascadia with 5-6 players.

—description from the publisher","[""Randy Flynn"", ""Molly Johnson"", ""Robert Melvin"", ""Shawn Stankewich""]","[""Flatout Games"", ""Alderac Entertainment Group"", ""CrowD Games"", ""Delirium Games"", ""G\u00e9m Klub Kft."", ""Korea Boardgames"", ""KOSMOS"", ""Little Rocket Games"", ""Lucky Duck Games"", ""MINDOK"", ""Regatul Jocurilor"", ""White Goblin Games""]","[""End Game Bonuses"", ""Hexagon Grid"", ""Open Drafting"", ""Pattern Building"", ""Scenario / Mission / Campaign Game"", ""Solo / Solitaire Game"", ""Tile Placement"", ""Variable Set-up"", ""Victory Points as a Resource""]","[""Beth Sobel""]",7.75909,2.2361,,3155,10,false,https://cf.geekdo-images.com/sD3EGm2CyvQGrp7FhScs0w__original/img/MS_E_-lJJ8SDopcqra9yq4JopbA=/0x0/filters:format(jpeg)/pic7453773.jpg,false,,2025-12-10 17:12:31.863,BUY_LIST,false,,,,,
306,Ticket to Ride Map Collection 6: France & Old West,"American West, Expansion for Base-game, Trains",2017,2,6,60,90,https://cf.geekdo-images.com/YOqCTOnXOJpkdnlNGpjVTQ__small/img/aT0hvxo_kbOEYHREFd9tOHCgc0A=/fit-in/200x150/filters:strip_icc()/pic3707326.jpg,2025-12-10 17:12:32.296,233891,,,"Ticket to Ride Map Collection 6: France & Old West includes a double-sided game board that features France on one side and the western half of the United States on the other.

In the France half of this expansion, 2-5 players collect train cards and claim routes in order to complete tickets in hand, but most of the tracks on the board aren't colored! Each time that you draw cards, you must take a colored tile that's 2-5 train cars long and place that tile on an empty track bed. Once you've done this, any player can claim that route by discarding the appropriately colored cards from hand, as in any other Ticket to Ride game. (Single-length routes are already colored, and the map contains a number of gray-colored ferry routes.)

Multiple track beds on the game board overlap, and once a tile has placed on the board, any track beds crossed by this tile are off-limits and nothing can be built on them. At the end of the game, players score their tickets, with bonuses being awarded for longest continuous route and most tickets completed.

In the Old West half of the expansion, 2-6 players start the game by choosing (in reverse player order) a starting location for one of their three city pieces. The first route that a player claims must have this city as one of the route's two endpoints, and each subsequent route claimed must connect to that player's existing network.

After claiming a route, a player can place one of their remaining cities on either end of that route by discarding a matching pair of train cards. Only one city marker can be in each city. Whenever a player builds a route that connects to a city owned by another player, the owner of the city claims the points for the route, not the player placing the trains. If both endpoints of the route have cities, then the owner of each city scores these points. Whoever completes the most tickets in this expansion scores 15 bonus points.

As a variant, you can play Old West with Alvin the Alien. No player can start the g","[""Alan R. Moon""]","[""Days of Wonder"", ""Gal\u00e1pagos Jogos"", ""Hobby World"", ""Rebel Sp. z o.o.""]","[""Chaining"", ""Connections"", ""Hand Management"", ""Network and Route Building"", ""Open Drafting"", ""Set Collection""]","[""Cyrille Daujean"", ""Julien Delval""]",7.58818,2.1852,,2215,8,false,https://cf.geekdo-images.com/YOqCTOnXOJpkdnlNGpjVTQ__original/img/2IwC4ehFmYELAY_lK8sGV-a3cQs=/0x0/filters:format(jpeg)/pic3707326.jpg,false,,2025-12-10 17:12:32.296,BUY_LIST,false,,,,,
187,"Air, Land, & Sea","Animals, Card Game, Print & Play, World War II",2019,2,2,20,20,"/thumbs/187-Air, Land, & Sea.jpg",2025-12-09 19:34:42.032,247367,"187-Air, Land, & Sea.jpg",GATEWAY_STRATEGY,"As Supreme Commander of your country's military forces in Air, Land, & Sea, you must carefully deploy your forces across three theaters of war: air, land, and sea. At the start of each battle, you're dealt a hand of six cards. Players take turns playing cards one at a time, until all cards have been played — or one player decides to withdraw. The order in which you play your cards is critical, as is whether you play them face up or face down. Playing a card face up triggers its tactical ability, but the card must be played in its corresponding theater. Face-down cards can be played to any theater, but have a strength of only 2 and do not grant tactical abilities.

Sometimes, it may be best to withdraw in order to deny your opponent complete victory as points are awarded at the end of each battle based on the results. The first player to 12 points wins!

Air, Land, & Sea: Critters at War features the same gameplay as in Air, Land, & Sea, but with 100% critters and more vibrant colors.","[""Jon Perry""]","[""Arcane Wonders"", ""(Web published)"", ""FunMill.ru"", ""Games7Days"", ""Giant Roc"", ""Hobby World"", ""Lucky Duck Games"", ""Maldito Games"", ""Rawstone"", ""\u041d\u0435\u0441\u043a\u0443\u0447\u043d\u044b\u0435 \u0438\u0433\u0440\u044b""]","[""Area Majority / Influence"", ""Card Play Conflict Resolution"", ""Hand Management""]","[""Valerio Buonfantino"", ""Stephen Gibson"", ""Derek Laufman""]",7.45073,1.7253,414,10256,14,false,https://cf.geekdo-images.com/3wpYeNwO7k_yjpIN7IQwaw__original/img/_qQC98hufgmPn_fwMrP4I0sYKO8=/0x0/filters:format(jpeg)/pic4387681.jpg,false,Strategy,2025-12-09 19:34:42.032,OWNED,false,,,,,
307,Decrypto: Expansion #01 – Laserdrive,"Deduction, Expansion for Base-game, Party Game, Word Game",2019,3,8,15,45,https://cf.geekdo-images.com/tEX_U-X8sJ1v6_AIz3xYrw__small/img/glxCbLZDMJ-2VPRPfwYfWKxcQ9E=/fit-in/200x150/filters:strip_icc()/pic4628941.jpg,2025-12-10 17:12:32.600,273938,,,"When you add Decrypto: Expansion #01 – Laserdrive to the base game, each round you draw a category card — movie titles, tourist attractions, words that begin with an A, etc. — and at least one of the clues that you give to your teammates must match this category. If all three of your clues match the category, then you receive a red laser token.

You can spend two red laser tokens to attempt to guess one of the team's hidden words. If you guess correctly, you receive a white token because you've intercepted their info — and collecting two white tokens wins you the game, so this expansion gives you a new way to work toward victory.","[""Thomas Dagenais-Lesp\u00e9rance""]","[""asmodee"", ""GoKids \u73a9\u6a02\u5c0f\u5b50"", ""Happy Baobab"", ""Lavka Games"", ""Portal Games"", ""Scorpion Masqu\u00e9""]","[""Communication Limits"", ""Targeted Clues"", ""Team-Based Game""]","[""Fabien Fulchiron"", ""NILS"", ""Manuel Sanchez""]",7.5078,1.8571,,499,12,false,https://cf.geekdo-images.com/tEX_U-X8sJ1v6_AIz3xYrw__original/img/zuWp6ODOnS6AREY7z74R5vWYhm8=/0x0/filters:format(jpeg)/pic4628941.jpg,false,,2025-12-10 17:12:32.600,BUY_LIST,false,,,,,
39,Escape Room: The Game,"Electronic, Puzzle",2016,3,5,60,60,/thumbs/39-escape-room-the-game.png,2025-09-16 22:42:46.875,204836,"39-escape-room-the-game.png",COOP_ADVENTURE,"Take the viral social experience of Escape Rooms to the comfort of your own home and for a fraction of the cost that you would pay! Included in this game are 4 unique 60 minute escape room puzzles that will test your cranial skills. Use images, gears, words, keys, shapes, maps and more to solve the three stages within each escape room. An analog timer on the Chrono Decoder centerpiece incessantly counts down, emitting ominous noises to create an environment shut out from the outside world. If the puzzles stump you for too long, slide a hint card into the Hint Decoder to keep your team moving. Slide 4 keys into the Chrono Decoder when you think you have the answer... but beware, if you're wrong, a precious minute will be taken from you.

The 4 escape rooms vary in difficulty, designed to give any group the experience they expect and deserve. If you're craving more puzzles, Escape Room expansions will be available, but you'll need the base game first as the Chrono Decoder is essential to the experience. Included in the base game in order of difficulty is: Prison Break, Virus, Nuclear Countdown, and Temple of the Aztec

Prison Break: Ten years in prison for a crime you didn't commit. Ten years of your life wasted for being in the wrong place at the wrong time, it hardly seemed fair. You know the guards will reach your cell during the rounds in an hour. Every bone in your body tells you this is the opportunity of a lifetime; you're 60 minutes away from freedom!

Virus: What a time to faint! You swear you could kill your lab partner, but you know that won't be necessary. The liquid that's oozing out of the broken bottle will kill everybody in the room soon enough...

Nuclear Countdown: The table is filled with all kinds of materials that send shivers down your spine. At that moment your phone rings and your worst nightmare becomes reality, the bomb threat is real!

Temple of the Aztec: The stories told about the temple were numerous. Anybody that had entered the temple w","[""(Uncredited)""]","[""Identity Games International B.V."", ""ADC Blackfire Entertainment"", ""Broadway Toys LTD"", ""Concentra"", ""Cranio Creations"", ""Diset S. A."", ""FoxMind Israel"", ""Galu00e1pagos Jogos"", ""Maki A/S"", ""Noris Spiele"", ""Spin Master Ltd."", ""ToyRock Oy""]","[""Cooperative Game"", ""Deduction"", ""Elapsed Real Time Ending""]","[""Sebastian Goyke"", ""Roland MacDonald""]",6.87925,2.2632,1549,4364,16,true,https://cf.geekdo-images.com/1CIfreuv-gqcaUndxUAExw__original/img/1-lAwj58R_C50ogYHKN34mWVoR0=/0x0/filters:format(png)/pic3117400.png,false,Family,2025-07-01 00:00:00.000,OWNED,false,,,,,
44,Five Tribes: The Djinns of Naqala,"Arabian, Fantasy, Mythology",2014,2,4,40,80,/thumbs/44-five-tribes-the-djinns-of-naqala.jpg,2025-09-16 22:42:58.540,157354,"44-five-tribes-the-djinns-of-naqala.jpg",CORE_STRATEGY,"Crossing into the Land of 1001 Nights, your caravan arrives at the fabled Sultanate of Naqala. The old sultan just died and control of Naqala is up for grabs! The oracles foretold of strangers who would maneuver the Five Tribes to gain influence over the legendary city-state. Will you fulfill the prophecy? Invoke the old Djinns and move the Tribes into position at the right time, and the Sultanate may become yours!

Designed by Bruno Cathala, Five Tribes builds on a long tradition of German-style games that feature wooden meeples. Here, in a unique twist on the now-standard ""worker placement"" genre, the game begins with the meeples already in place – and players must cleverly maneuver them over the villages, markets, oases, and sacred places tiles that make up Naqala. How, when, and where you dis-place these Five Tribes of Assassins, Elders, Builders, Merchants, and Viziers determine your victory or failure.

As befitting a Days of Wonder game, the rules are straightforward and easy to learn. But devising a winning strategy will take a more calculated approach than our standard fare. You need to carefully consider what moves can score you well and put your opponents at a disadvantage. You need to weigh many different pathways to victory, including the summoning of powerful Djinns that may help your cause as you attempt to control this legendary Sultanate.

","[""Bruno Cathala""]","[""Days of Wonder"", ""Arclight Games"", ""Asterion Press"", ""CrowD Games"", ""Galu00e1pagos Jogos"", ""Gu00e9m Klub Kft."", ""Korea Boardgames"", ""Lord of Boards"", ""Maldito Games"", ""Rebel Sp. z o.o.""]","[""Auction / Bidding"", ""Constrained Bidding"", ""End Game Bonuses"", ""Hidden Victory Points"", ""Mancala"", ""Modular Board"", ""Set Collection"", ""Square Grid"", ""Take That"", ""Turn Order: Auction"", ""Variable Player Powers"", ""Variable Set-up"", ""Victory Points as a Resource""]","[""Clu00e9ment Masson""]",7.76573,2.8393,93,44126,13,false,https://cf.geekdo-images.com/dmo-WD6HZHVUPrbVHunaTw__original/img/PS9HXrThM8Pepbd-cuA1tX8KCYU=/0x0/filters:format(jpeg)/pic2055255.jpg,false,Strategy,2025-07-01 00:00:00.000,OWNED,false,,,,,
