fetch_card_id,image_url,name,card_code,rarity,print_finish,set_name
mtg_109_r_aer_foil,https://card-images.fetchtcg.com/mtg/2460/large/mtg_109_r_aer_foil.png,Heroic Intervention,109,Rare,Foil,Aether Revolt
mtg_109_r_aer_normal,https://card-images.fetchtcg.com/mtg/2460/large/mtg_109_r_aer_normal.png,Heroic Intervention,109,Rare,Normal,Aether Revolt
mtg_119_r_arb_foil,https://card-images.fetchtcg.com/mtg/2464/large/mtg_119_r_arb_foil.png,Madrush Cyclops,119,Rare,Foil,Alara Reborn
mtg_119_r_arb_normal,https://card-images.fetchtcg.com/mtg/2464/large/mtg_119_r_arb_normal.png,Madrush Cyclops,119,Rare,Normal,Alara Reborn
mtg_1_m_akh_foil,https://card-images.fetchtcg.com/mtg/2469/large/mtg_1_m_akh_foil.png,Angel of Sanctions,1,Mythic,Foil,Amonkhet
mtg_1_m_akh_normal,https://card-images.fetchtcg.com/mtg/2469/large/mtg_1_m_akh_normal.png,Angel of Sanctions,1,Mythic,Normal,Amonkhet
mtg_2_r_akh_foil,https://card-images.fetchtcg.com/mtg/2469/large/mtg_2_r_akh_foil.png,Anointed Procession,2,Rare,Foil,Amonkhet
mtg_2_r_akh_normal,https://card-images.fetchtcg.com/mtg/2469/large/mtg_2_r_akh_normal.png,Anointed Procession,2,Rare,Normal,Amonkhet
mtg_10_u_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_10_u_acr_foil.png,Templar Knight,10,Uncommon,Foil,Assassin's Creed
mtg_10_u_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_10_u_acr_normal.png,Templar Knight,10,Uncommon,Normal,Assassin's Creed
mtg_38_r_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_38_r_acr_foil.png,The Spear of Leonidas,38,Rare,Foil,Assassin's Creed
mtg_38_r_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_38_r_acr_normal.png,The Spear of Leonidas,38,Rare,Normal,Assassin's Creed
mtg_71_u_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_71_u_acr_foil.png,Brotherhood Regalia,71,Uncommon,Foil,Assassin's Creed
mtg_71_u_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_71_u_acr_normal.png,Brotherhood Regalia,71,Uncommon,Normal,Assassin's Creed
mtg_72_r_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_72_r_acr_foil.png,"Excalibur, Sword of Eden",72,Rare,Foil,Assassin's Creed
mtg_72_r_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_72_r_acr_normal.png,"Excalibur, Sword of Eden",72,Rare,Normal,Assassin's Creed
mtg_8_r_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_8_r_acr_foil.png,"Senu, Keen-Eyed Protector",8,Rare,Foil,Assassin's Creed
mtg_8_r_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_8_r_acr_normal.png,"Senu, Keen-Eyed Protector",8,Rare,Normal,Assassin's Creed
mtg_81_u_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_81_u_acr_foil.png,Path to Exile,81,Uncommon,Foil,Assassin's Creed
mtg_81_u_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_81_u_acr_normal.png,Path to Exile,81,Uncommon,Normal,Assassin's Creed
mtg_82_u_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_82_u_acr_foil.png,Reconnaissance,82,Uncommon,Foil,Assassin's Creed
mtg_82_u_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_82_u_acr_normal.png,Reconnaissance,82,Uncommon,Normal,Assassin's Creed
mtg_89_r_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_89_r_acr_foil.png,Cover of Darkness,89,Rare,Foil,Assassin's Creed
mtg_89_r_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_89_r_acr_normal.png,Cover of Darkness,89,Rare,Normal,Assassin's Creed
mtg_99_m_acr_foil,https://card-images.fetchtcg.com/mtg/2494/large/mtg_99_m_acr_foil.png,Sword of Feast and Famine,99,Mythic,Foil,Assassin's Creed
