id,title,bgg_id,ag_game_id
301,A Fake Artist Goes to New York,135779,94af936d-a137-4194-b4ae-ed76c9ed98f9
302,Time's Up! Title Recall!,36553,bf47a6c3-0f1f-4ddb-951d-ec756ac9a50b
303,Werewords,219215,de18c455-b233-45fa-8c3e-f61b6704338e
304,Wingspan: Oceania Expansion,300580,fc71feed-a8ad-4a88-bf5b-82d6409d1444
305,Cascadia: Landmarks,385318,861affb7-3f3c-44ec-aa31-1515526768d1
187,"Air, Land, & Sea",247367,7a07e249-0975-49b8-9165-f31e66825465
307,Decrypto: Expansion #01 â€“ Laserdrive,273938,e7db665c-a3cd-4343-88d1-d365b7e3eadc
39,Escape Room: The Game,204836,a8e5b4b2-5119-4bd8-b1e0-e2218a334b46
44,Five Tribes: The Djinns of Naqala,157354,a473b0fc-26ad-41b3-a02b-c5da71851ace
190,Lost Ruins of Arnak,312484,4b4f6e0a-2def-43c6-9046-3a7177561df0
191,Monikers,156546,ff6b7132-4f65-4e7e-9491-9d8365ebe427
194,The Crew: The Quest for Planet Nine,284083,e626cf6e-7bb3-4436-b0a4-625097cd0a44
193,Rolling Realms,305682,a246bfc0-55a4-427c-b3f6-7b2e526e7cc8
308,Blood on the Clocktower,240980,7c5ce33e-7dd2-4252-bb21-50597a33f71a
192,Next Station: London,353545,f5144357-53e5-48f4-879a-0f869ffbe0f7
199,So Clover!,329839,d58a6bc3-f995-43ef-af8b-744e7af629fb
309,Teotihuacan: City of Gods,229853,f5342559-39c3-48d7-a642-23f6f3ab761f
310,Under Falling Skies,306735,9e8191e4-9c64-41a1-9b0d-f02b17f322ce
311,Praga Caput Regni,308765,130c74f4-ad6f-445d-b24b-4a727fe77fa4
312,SCOUT,291453,c0cfbdc1-9c69-49fe-9557-7c50e83dce96
352,CATAN: Seafarers,325,24f7db33-e62f-4cea-b9fa-49bef7d45e02
195,The Fuzzies,314421,ce99247d-02fb-44f1-ad05-0a0aae036a04
196,Welcome To...,233867,cf5450e5-6b6b-4e8b-b11d-c0cc865455a2
313,Arboretum,140934,3f4090cc-8ba8-49b8-ba2e-0e8bb71eb9cc
201,Alien Frontiers,48726,efd399e3-e26d-472a-b0fb-bd09892b33d3
197,Ticket to Ride,9209,549147c2-9135-4538-a8f8-f8e3b8b429f6
189,Kites,348096,50e6ae0d-f78d-424b-bd56-80a592d1366f
200,The Palace of Mad King Ludwig,223278,3d6e2447-3b4d-46ca-8eaa-6a7321f98e87
314,High Society,220,fce1e1dd-87d4-48c3-afc1-475b9dd12d5e
202,Trekking the World,300442,365b987e-ebf2-45b1-9b3b-ede8bfa1b8cd
316,Tiny Towns,265736,0a592258-7dde-4575-99ac-860c8fb576f7
317,The Isle of Cats,281259,849b94b9-cd3a-41a5-9b89-50d367658c04
318,Planet Unknown,258779,eadbc659-67e0-4d8b-a56e-7614b4aa6ad9
319,MicroMacro: Crime City,318977,3d63924d-960f-4857-b6d1-003793b30d86
203,Terraforming Mars,167791,16fbb2f3-5910-402b-9b91-4004c8d7c136
320,The Guild of Merchant Explorers,350933,ac09360a-9485-4859-ad5f-f61ae326314c
321,Fantastic Factories,216600,678185c6-df2b-4ac1-88fe-3f2303a0588a
322,Point City,368017,1261cee8-27c3-4fc2-a550-0a63d17a3a5a
77,XCOM: The Board Game,163602,48bb2224-47b8-4e06-9eca-8a3748e0d98b
204,Ark Nova,342942,27090032-b23a-4798-b0b3-6488d31ee93a
206,Brass: Birmingham,224517,9f722c25-fef4-4b7c-a9d8-7b7729bf7b34
323,Cat in the Box: Deluxe Edition,345972,178525fb-7cdc-4f37-a89f-aaf850406f14
324,Similo,268620,17899ab4-0389-4dab-b267-d5655a5430ff
